Video;alight;boarding;spacemaker;boarding early;bulky;slow;distracted;in way;time
3009;9;7;0;1;0;1;1;0;18.867
3025;6;9;0;0;0;1;1;0;12.634
3026;3;9;0;2;1;1;0;1;13.633
3029;4;7;0;0;0;0;1;0;10.767
3032;8;4;0;0;1;0;0;2;12.733
3034;9;9;0;0;0;1;3;2;18.48
3035;4;2;0;0;1;2;0;0;8.334
3037;17;8;0;0;1;0;1;1;22.28
3039;7;3;0;2;2;0;1;0;11.1
3040;10;6;0;1;0;0;2;0;15.067
3041;3;0;0;0;0;2;1;0;3.367
3042;5;3;0;1;1;0;0;1;7.36
3043;9;6;0;1;0;2;2;0;13.24
3044;1;4;0;0;0;0;1;0;7.067
3045;8;6;0;1;1;2;0;0;14.267
3047;14;5;0;0;1;1;1;1;15.76
3049;7;6;0;2;0;0;0;2;11.6
3146;8;4;2;2;0;1;0;0;14.3
3147;7;8;0;2;0;0;0;0;17.367
3148;15;7;2;2;1;0;1;2;20.967
3149;6;8;0;2;0;1;1;0;16.266
3150;12;4;0;1;1;0;0;0;11.6
3153;21;9;1;1;0;1;2;0;23.16
3154;20;7;1;4;0;0;1;1;18.6
3157;19;15;1;0;0;0;2;0;28.68
3158;20;9;1;0;0;1;2;0;20.934
3159;24;5;0;0;0;2;2;4;23.133
3162;14;8;0;0;0;0;0;2;17.6
3163;12;13;0;0;2;1;0;4;26.033
3164;15;14;1;0;0;0;0;1;25.6
3165;34;19;0;0;2;2;2;1;35.034
3167;16;12;0;0;0;1;1;5;21.4
3169;14;7;0;0;0;1;0;0;14.866
3170;14;8;0;0;1;0;0;0;17.433
3171;21;11;1;1;1;0;0;0;25.466
3174;14;13;0;0;0;4;2;0;21.933
3176;3;1;0;0;0;0;0;1;3.466
3177;15;6;0;0;1;0;2;1;17.2
3178;2;6;0;0;0;0;1;0;7.933
3179;16;20;0;0;6;1;2;0;41.234
3181;5;5;0;1;2;1;1;2;15.133
3182;26;12;0;0;2;0;0;2;30.233
3183;10;13;0;1;2;0;0;2;18.734
3184;14;8;2;0;1;1;1;2;25.4
3186;16;10;0;0;2;0;0;1;22.167
3187;16;12;0;0;0;0;1;0;21.1
3188;4;1;0;0;0;0;0;0;4.533
3190;16;6;0;2;2;0;0;0;19.367
3191;5;3;0;1;0;0;0;1;7.2
3192;19;13;0;0;2;1;0;3;29.133
3195;12;8;0;0;0;0;0;1;18.533
3196;19;13;0;0;3;0;0;1;26.1
3197;3;3;0;0;0;0;0;0;7.68
3198;34;10;0;0;2;0;0;1;29.96
3199;8;14;0;0;4;1;0;0;18.4
3203;19;30;0;0;0;2;0;0;38.4
