Video;1;2;3;4;5;6;11
3009;7;1;0;0;0;0;0
3025;6;0;0;0;0;0;0
3026;3;0;0;0;0;0;0
3029;4;0;0;0;0;0;0
3032;8;0;0;0;0;0;0
3034;7;1;0;0;0;0;0
3035;4;0;0;0;0;0;0
3037;15;1;0;0;0;0;0
3039;7;0;0;0;0;0;0
3040;10;0;0;0;0;0;0
3041;3;0;0;0;0;0;0
3042;5;0;0;0;0;0;0
3043;9;0;0;0;0;0;0
3044;1;0;0;0;0;0;0
3045;8;0;0;0;0;0;0
3047;11;0;1;0;0;0;0
3049;7;0;0;0;0;0;0
3146;8;0;0;0;0;0;0
3147;7;0;0;0;0;0;0
3148;11;2;0;0;0;0;0
3149;6;0;0;0;0;0;0
3150;8;2;0;0;0;0;0
3153;15;3;0;0;0;0;0
3154;15;1;1;0;0;0;0
3157;17;1;0;0;0;0;0
3158;15;0;0;0;1;0;0
3159;13;1;1;0;0;1;0
3162;12;1;0;0;0;0;0
3163;8;2;0;0;0;0;0
3164;10;1;1;0;0;0;0
3165;25;3;1;0;0;0;0
3167;6;1;1;0;1;0;0
3169;10;2;0;0;0;0;0
3170;7;0;1;1;0;0;0
3171;21;0;0;0;0;0;0
3174;11;0;1;0;0;0;0
3176;3;0;0;0;0;0;0
3177;7;4;0;0;0;0;0
3178;2;0;0;0;0;0;0
3179;7;2;0;0;1;0;0
3181;2;0;1;0;0;0;0
3182;22;0;0;1;0;0;0
3183;8;1;0;0;0;0;0
3184;6;2;0;1;0;0;0
3186;12;2;0;0;0;0;0
3187;7;1;1;1;0;0;0
3188;2;1;0;0;0;0;0
3190;6;2;0;0;0;1;0
3191;3;1;0;0;0;0;0
3192;9;5;0;0;0;0;0
3195;8;2;0;0;0;0;0
3196;11;4;0;0;0;0;0
3197;1;1;0;0;0;0;0
3198;17;3;0;0;0;0;1
3199;8;0;0;0;0;0;0
3203;15;2;0;0;0;0;0
