Video;1;2;3;4;5;6;7
3009;7;0;0;0;0;0;0
3025;9;0;0;0;0;0;0
3026;9;0;0;0;0;0;0
3029;7;0;0;0;0;0;0
3032;4;0;0;0;0;0;0
3034;9;0;0;0;0;0;0
3035;0;1;0;0;0;0;0
3037;8;0;0;0;0;0;0
3039;1;1;0;0;0;0;0
3040;6;0;0;0;0;0;0
3041;0;0;0;0;0;0;0
3042;3;0;0;0;0;0;0
3043;6;0;0;0;0;0;0
3044;2;1;0;0;0;0;0
3045;6;0;0;0;0;0;0
3047;5;0;0;0;0;0;0
3049;2;2;0;0;0;0;0
3146;4;0;0;0;0;0;0
3147;5;0;1;0;0;0;0
3148;7;0;0;0;0;0;0
3149;8;0;0;0;0;0;0
3150;4;0;0;0;0;0;0
3153;7;1;0;0;0;0;0
3154;5;1;0;0;0;0;0
3157;11;2;0;0;0;0;0
3158;9;0;0;0;0;0;0
3159;3;1;0;0;0;0;0
3162;6;1;0;0;0;0;0
3163;6;0;0;0;0;0;1
3164;10;0;0;1;0;0;0
3165;13;1;0;1;0;0;0
3167;7;1;1;0;0;0;0
3169;7;0;0;0;0;0;0
3170;2;3;0;0;0;0;0
3171;7;2;0;0;0;0;0
3174;10;0;1;0;0;0;0
3176;1;0;0;0;0;0;0
3177;2;2;0;0;0;0;0
3178;6;0;0;0;0;0;0
3179;7;1;0;0;1;1;0
3181;5;0;0;0;0;0;0
3182;10;1;0;0;0;0;0
3183;4;3;1;0;0;0;0
3184;2;3;0;0;0;0;0
3186;6;2;0;0;0;0;0
3187;8;2;0;0;0;0;0
3188;1;0;0;0;0;0;0
3190;2;2;0;0;0;0;0
3191;3;0;0;0;0;0;0
3192;9;2;0;0;0;0;0
3195;6;1;0;0;0;0;0
3196;10;0;1;0;0;0;0
3197;3;0;0;0;0;0;0
3198;8;1;0;0;0;0;0
3199;9;0;0;0;1;0;0
3203;21;3;1;0;0;0;0
