Video;boarding defensive;alight defensive;spacemaker defensive;boarding aggressive;alight aggressive;spacemaker aggressive;boarding normal;alight normal;spacemaker normal
3009;0;1;0;2;2;0;5;6;0
3025;1;1;0;1;1;0;7;4;0
3026;1;0;0;2;0;0;6;3;0
3029;1;0;0;2;1;0;4;3;0
3032;1;1;0;0;1;0;3;6;0
3034;2;1;0;1;2;0;5;6;0
3035;0;1;0;2;1;0;0;2;0
3037;3;1;0;1;2;0;4;14;0
3039;0;4;0;0;1;0;3;2;0
3040;2;2;0;1;1;0;3;7;0
3041;0;0;0;0;0;0;0;3;0
3042;0;1;0;1;0;0;2;3;0
3043;1;2;0;1;2;0;3;5;0
3044;2;0;0;0;1;0;2;0;0
3045;2;1;0;1;2;0;3;5;0
3047;2;1;0;0;2;0;2;11;0
3049;1;1;0;2;1;0;3;5;0
3146;1;1;0;0;2;2;3;5;0
3147;0;1;0;2;2;0;6;4;0
3148;1;3;0;1;2;2;5;10;0
3149;2;2;0;1;2;0;5;2;0
3150;0;2;0;1;1;0;3;9;0
3153;1;4;1;1;2;0;5;15;0
3154;1;2;0;1;2;1;5;16;0
3157;1;3;0;3;3;0;7;13;1
3158;2;2;0;0;3;1;4;15;0
3159;1;4;0;1;3;0;3;17;0
3162;0;1;0;3;3;0;5;10;0
3163;1;2;0;3;2;0;7;8;0
3164;0;2;0;5;3;1;9;10;0
3165;2;3;0;3;3;0;14;28;0
3167;1;0;0;2;3;0;6;13;0
3169;0;1;0;1;2;0;6;11;0
3170;1;1;0;1;2;0;6;11;0
3171;3;3;0;3;2;0;5;16;1
3174;1;2;0;3;1;0;9;11;0
3176;1;0;0;0;0;0;0;3;0
3177;1;1;0;0;2;0;5;12;0
3178;1;0;0;0;0;0;5;2;0
3179;1;2;0;3;3;0;10;11;0
3181;0;1;0;3;0;0;2;4;0
3182;1;3;0;3;4;0;8;19;0
3183;1;3;0;2;1;0;10;6;0
3184;0;3;0;2;2;0;4;9;2
3186;1;3;0;3;2;0;6;11;0
3187;0;1;0;1;2;0;11;13;0
3188;0;0;0;0;2;0;1;2;0
3190;1;3;0;2;2;0;3;11;0
3191;0;1;0;1;1;0;2;3;0
3192;1;2;0;2;4;0;6;13;0
3195;0;1;0;3;2;0;4;9;0
3196;0;2;0;3;3;0;10;14;0
3197;0;0;0;0;1;0;2;2;0
3198;0;4;0;2;3;0;7;27;0
3199;1;1;0;2;1;0;11;6;0
3203;1;2;0;1;3;0;16;14;0
