Video;Type;Opening;First step;Time
3009;1;2.767;4.133;1.366
3025;1;0.4;1.7;1.3
3026;-1;0.467;2.4;1.933
3029;-1;0.2;3.9;3.7
3032;1;2.267;3.733;1.466
3034;1;1.7;2.933;1.233
3035;1;0.433;1.8;1.367
3037;0;0.767;2.733;1.966
3039;0;1.8;3.833;2.033
3040;1;0.9;2.167;1.267
3041;0;0.267;2.233;1.966
3042;0;0.967;3.133;2.166
3043;0;0;1.767;1.767
3044;0;0.667;2.233;1.566
3045;1;0.033;1.3;1.267
3047;0;0.167;1.767;1.6
3049;0;0.3;2.1;1.8
3146;0;0.3;2.2;1.9
3148;0;0.6;2.433;1.833
3149;1;0.067;1.733;1.666
3150;1;0.6;2.267;1.667
3153;-1;0.133;2.233;2.1
3154;1;0.433;2;1.567
3157;1;0.067;1.433;1.366
3158;0;0.3;1.733;1.433
3159;1;0.667;1.6;0.933
3162;0;0.433;2.233;1.8
3163;0;0;1.6;1.6
3164;0;0.5;2.2;1.7
3165;0;0.133;1.633;1.5
3167;0;0.2;1.8;1.6
3169;0;0.133;1.8;1.667
3170;0;0.167;1.733;1.566
3171;0;0.067;1.833;1.766
3174;-1;0.167;2;1.833
3176;0;0.2;1.967;1.767
3177;0;1.333;2.867;1.534
3178;0;0.233;1.767;1.534
3179;0;0.133;1.833;1.7
3183;0;0.4;2;1.6
3184;-1;0.667;2.467;1.8
3187;0;0.3;1.9;1.6
3188;-1;0;2.1;2.1
3190;0;0.6;2.3;1.7
3191;0;0.1;1.733;1.633
3192;0;0.4;1.967;1.567
3195;-1;0;1.967;1.967
3196;-1;0.3;2.4;2.1
3197;0;0;1.64;1.64
3199;-1;0;1.967;1.967
3203;1;0.3;1.867;1.567
